total_ids,intersection_ratio,method,method_display,runs,correct_rate,protocol_elapsed_ms_mean,protocol_elapsed_ms_std,protocol_elapsed_ms_cv_pct,protocol_elapsed_ms_min,protocol_elapsed_ms_max,end_to_end_elapsed_ms_mean,end_to_end_elapsed_ms_std,end_to_end_elapsed_ms_cv_pct,end_to_end_elapsed_ms_min,end_to_end_elapsed_ms_max,comm_bytes_mean,comm_bytes_std,comm_bytes_cv_pct,comm_bytes_min,comm_bytes_max
1000,0.01,dh,DH PSI,10,1.0,2447.6566791534424,53.99671392910644,2.206057507533368,2382.973909378052,2534.740686416626,2450.6058199998733,54.371319750477525,2.218688917929703,2385.560400000031,2537.215100001049,396000.0,0.0,0.0,396000.0,396000.0
1000,0.01,ecdh,ECDH PSI,10,1.0,229.2130708694458,7.687643187905933,3.353928795921341,220.2668190002441,241.7912483215332,232.2990300001038,7.709371968534827,3.3187275764911215,223.1689000000188,244.9367999997776,198000.0,0.0,0.0,198000.0,198000.0
1000,0.01,hash_baseline,哈希基线,10,1.0,2.1350622177124023,0.16651323987196223,7.798987705865157,2.0427703857421875,2.5739669799804688,5.26596999989124,0.764808362034682,14.523598920056093,4.73729999976058,7.304199998543481,64000.0,0.0,0.0,64000.0,64000.0
1000,0.01,socket_ecdh,Socket ECDH PSI,10,1.0,159.00540000002366,1.7491401611806896,1.1000507914702453,155.68289999828266,161.61470000042755,1441.6814499998509,236.5648099061679,16.4089514993893,1164.5043000007718,1733.2461999994848,198044.0,0.0,0.0,198044.0,198044.0
1000,0.1,dh,DH PSI,10,1.0,2450.0261068344116,76.4607102364459,3.1208120608656684,2382.1005821228027,2620.6610202789307,2452.6223100001516,76.49777521489752,3.1190197896753533,2384.60330000089,2623.1683999994857,396000.0,0.0,0.0,396000.0,396000.0
1000,0.1,ecdh,ECDH PSI,10,1.0,235.7435941696167,31.79393437113599,13.486658877466832,220.2091217041016,324.7575759887696,239.49857000025077,31.817468069068685,13.285034674334536,223.26190000057977,327.73980000092706,198000.0,0.0,0.0,198000.0,198000.0
1000,0.1,hash_baseline,哈希基线,10,1.0,2.1431446075439453,0.1064055230147854,4.964925028401451,2.037286758422852,2.3441314697265625,5.031260000032489,0.18434882490325646,3.6640687402771084,4.877299999861862,5.519099999219179,64000.0,0.0,0.0,64000.0,64000.0
1000,0.1,socket_ecdh,Socket ECDH PSI,10,1.0,159.6885300001304,4.912856785662759,3.076524522868829,154.14210000017192,171.79989999931422,1408.2503200002975,206.41172681882728,14.657317941797709,1138.2322999997996,1660.9363000006852,198044.0,0.0,0.0,198044.0,198044.0
5000,0.01,dh,DH PSI,10,1.0,12003.211688995361,110.12651099720856,0.9174753711806433,11831.157445907593,12164.60347175598,12013.526040000033,110.39767969708764,0.9189448570678533,11841.3486999998,12174.707899999705,1980000.0,0.0,0.0,1980000.0,1980000.0
5000,0.01,ecdh,ECDH PSI,10,1.0,1126.1191129684448,16.268029720428427,1.4446100357488805,1106.3454151153564,1153.1226634979248,1136.226920000081,16.301836843669204,1.434734255694984,1116.2667999997211,1163.7377999995806,990000.0,0.0,0.0,990000.0,990000.0
5000,0.01,hash_baseline,哈希基线,10,1.0,11.459183692932129,0.6263505906847326,5.465926783869058,10.695934295654297,12.256622314453123,21.463130000120145,0.8183173019701798,3.8126652634802056,20.15899999969406,22.47460000035062,320000.0,0.0,0.0,320000.0,320000.0
5000,0.01,socket_ecdh,Socket ECDH PSI,10,1.0,807.470850000027,15.346809425647976,1.9006022849800044,782.6222999992751,833.165399999416,2243.7525300001653,58.93179624417009,2.6264837791253988,2143.2234999992943,2334.2353999996703,990044.0,0.0,0.0,990044.0,990044.0
5000,0.1,dh,DH PSI,10,1.0,12162.418866157532,213.17626113511895,1.7527455967520682,11923.48289489746,12665.138244628906,12172.13789999987,213.17323376298683,1.751321218296328,11933.655999999246,12675.064799999744,1980000.0,0.0,0.0,1980000.0,1980000.0
5000,0.1,ecdh,ECDH PSI,10,1.0,1189.9937629699707,96.38568769773369,8.099680073715309,1100.5163192749023,1386.8277072906494,1200.6698099999994,97.26158036637494,8.100610139133504,1111.8138000001636,1400.4863999998634,990000.0,0.0,0.0,990000.0,990000.0
5000,0.1,hash_baseline,哈希基线,10,1.0,11.648154258728027,1.3537898588376018,11.622355171191174,10.633468627929688,14.336585998535156,21.404469999470166,1.5639743128952444,7.30676495579642,19.707299999936367,24.75989999948069,320000.0,0.0,0.0,320000.0,320000.0
5000,0.1,socket_ecdh,Socket ECDH PSI,10,1.0,938.8794899996356,385.1372177917772,41.02094271884954,779.601599999296,2032.334000001356,2360.1489500000753,381.90689546677714,16.181474286475222,2140.0116000004346,3429.6988000005517,990044.0,0.0,0.0,990044.0,990044.0
